"name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
"数据分析师","淘粉吧","西湖区","“福利多多 ， 优秀团队”","电商 BI 数据分析 SQL","10","15","12.5","经验3-5年","本科","移动互联网,电商","上市公司","150-500人"
"数据分析师","瑞勤数据","长河","“12天年假,六险一金,技能培训,数据服务”","大数据 金融 数据分析","8","16","12","经验不限","本科","金融,数据服务","未融资","15-50人"
"数据分析师","盘石网盟","拱墅区","“三餐免费吃”","广告营销 SPSS SQL 数据运营","6","8","7","经验1-3年","本科","移动互联网,广告营销","D轮及以上","500-2000人"
"数据分析师","胄天科技","滨江区","“只有你想不到，没有我们做不到！”","大数据 通信/网络设备 数据挖掘 数据分析 数据处理","10","20","15","经验3-5年","本科","信息安全,数据服务","上市公司","50-150人"
"数据分析师","观远数据","仓前","“成长空间,牛人团队,独挡一面,期权激励”","大数据 金融 BI 数据分析","12","24","18","经验3-5年","本科","企业服务,数据服务","A轮","50-150人"
"数据分析师","追灿科技","西湖区","“五险一金、广阔发展空间、年终奖”","企业服务 大数据 SQL 数据库 数据分析","5","8","6.5","经验1-3年","本科","企业服务,数据服务","未融资","15-50人"
"数据分析师","遥望网络","余杭区","“上市公司 福利好 BI 电商行业”","大数据 BI 数据分析 数据运营","8","10","9","经验1-3年","本科","移动互联网,游戏","上市公司","150-500人"
"数据分析师","霖梓控股","滨江区","“福利多多,弹性工作,晋升发展,五险一金”","数据分析 SQL","10","15","12.5","经验3-5年","本科","移动互联网,金融","B轮","150-500人"
"数据分析师","霖梓控股","西兴","“双休 团队融洽 帅哥美女”","移动互联网 数据分析","15","25","20","经验3-5年","本科","移动互联网,金融","B轮","150-500人"
"数据分析师","青团社","余杭区","“扁平管理 五险一金”","BI 数据分析","12","20","16","经验1-3年","本科","移动互联网,企业服务","B轮","150-500人"
"数据分析师-企业SaaS应用","字节跳动","余杭区","“六险一金，弹性工作，免费三餐，租房补贴”","数据分析","20","40","30","经验3-5年","本科","文娱丨内容","C轮","2000人以上"
"数据分析师-杭州-00400","同盾科技","余杭区","“大数据、人工智能、机器学习”","大数据 数据挖掘 数据分析","10","20","15","经验3-5年","本科","信息安全,数据服务","C轮","500-2000人"
"数据分析师（2020届）","鼎捷软件","上城区","“五险一金 上市公司 奖金丰厚”","数据分析","3","5","4","经验应届毕业生","本科","其他","上市公司","2000人以上"
